id,sku,name_th,name_en,description_th,category,service_type,revenue_type,duration_min,price_before_vat,vat_rate,price_after_vat,currency,stock_or_capacity,level,therapist_required,room_required,branch_code,service_slot_times,booking_channel,booking_link,tags,image_url
1,WEL-PT-001,เทรนนิ่งส่วนตัว 1:1,Personal Training 1:1,โปรแกรมออกกำลังกายส่วนบุคคล ประเมินร่างกายและวางแผนรายสัปดาห์,Fitness,Service,Service,60.0,1121.5,0.07,1200.0,THB,8,Beginner/All,False,False,BKK-01,"07:00,08:30,10:00,11:30,13:00,14:30,16:00,17:30,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"ฟิตเนส,เทรนเนอร์,ลดน้ำหนัก",/images/w_pt1.png
2,WEL-YG-001,คลาสโยคะพื้นฐาน,Basic Yoga Class,คลาสกลุ่มเล็ก โยคะพื้นฐาน เน้นการหายใจและการยืดเหยียด,Wellness,Service,Service,60.0,327.1,0.07,350.0,THB,12,Beginner,False,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"โยคะ,ยืดเหยียด,กลุ่มเล็ก",/images/w_yoga_basic.png
3,WEL-YG-002,โยคะร้อน (Hot Yoga),Hot Yoga,คลาสโยคะในห้องอุ่น 37–40°C ช่วยเผาผลาญและขับเหงื่อ,Wellness,Service,Service,75.0,420.56,0.07,450.0,THB,18,Intermediate,False,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"เหงื่อ,เผาผลาญ,ดีท็อกซ์",/images/w_hot_yoga.png
4,WEL-SP-001,แพ็กเกจสปา ผ่อนคลาย 90 นาที,Relaxing Spa 90m,นวดน้ำมันอโรม่า + ประคบร้อน ช่วยคลายกล้ามเนื้อและลดความเครียด,Spa,Service,Service,90.0,1485.98,0.07,1590.0,THB,6,All,True,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"สปา,อโรม่า,ผ่อนคลาย",/images/w_spa_relax.png
5,WEL-SP-002,นวดไทย 60 นาที,Thai Massage 60m,นวดไทยดั้งเดิม ยืดเส้น แก้ออฟฟิศซินโดรม,Spa,Service,Service,60.0,457.94,0.07,490.0,THB,10,All,True,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"นวดไทย,ยืดเส้น,ออฟฟิศซินโดรม",/images/w_thai_massage.png
6,WEL-SP-003,สครับผิว & ห่อผิว 90 นาที,Body Scrub & Wrap 90m,ผลัดเซลล์ผิวด้วยสครับธรรมชาติ ตามด้วยการห่อผิวให้ชุ่มชื้น,Spa,Service,Service,90.0,1672.9,0.07,1790.0,THB,4,All,True,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"สครับ,สกินแคร์,บอดี้แคร์",/images/w_scrub_wrap.png
7,WEL-SA-001,ซาวน่าอินฟราเรด 30 นาที,Infrared Sauna 30m,ขับของเสีย กระตุ้นการไหลเวียน ลดความล้าหลังออกกำลัง,Wellness,Service,Service,30.0,280.37,0.07,300.0,THB,2,All,False,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"ซาวน่า,ดีท็อกซ์,ฟื้นฟู",/images/w_infra_sauna.png
8,WEL-IC-001,อ่างน้ำแข็ง 10 นาที,Ice Bath 10m,จุ่มน้ำเย็นเพื่อฟื้นฟูกล้ามเนื้อหลังการออกกำลังกาย,Wellness,Service,Service,10.0,233.64,0.07,250.0,THB,1,All,False,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"ไอซ์บาธ,กู้คืน,นักกีฬา",/images/w_icebath.png
9,WEL-CL-001,คอร์สปรับท่าทาง 6 สัปดาห์,Posture Reset 6 Weeks,โปรแกรมแก้ไหล่งุ้ม หลังค่อม ด้วยท่า Strength & Mobility,Fitness,Program,Service,60.0,4663.55,0.07,4990.0,THB,10,All,False,False,BKK-01,"07:00,08:30,10:00,11:30,13:00,14:30,16:00,17:30,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"ท่าทาง,แก้ปวดคอ,ไหล่",/images/w_posture.png
10,WEL-NU-001,ให้คำปรึกษาโภชนาการ,Nutrition Consultation,วิเคราะห์พฤติกรรมการกิน วางแผนอาหารเฉพาะบุคคล,Wellness,Service,Service,45.0,738.32,0.07,790.0,THB,12,All,False,False,BKK-01,"07:00,08:30,10:00,11:30,13:00,14:30,16:00,17:30,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"โภชนาการ,ลดไขมัน,สุขภาพ",/images/w_nutrition.png
11,WEL-PD-001,โปรตีนเวย์ 1 กก.,Whey Protein 1kg,เวย์โปรตีน รสวานิลลา ไขมันต่ำ เหมาะเสริมสร้างกล้ามเนื้อ,Fitness,Product,Product,,1112.15,0.07,1190.0,THB,40,-,False,False,BKK-01,,LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"เสริมอาหาร,โปรตีน,ฟิตเนส",/images/w_whey.png
12,WEL-MT-001,เสื่อโยคะระดับโปร,Pro Yoga Mat,กันลื่น หนา 6 มม. รองรับแรงกดท่าที่ยาก พกพาสะดวก,Fitness,Product,Product,,1205.61,0.07,1290.0,THB,80,-,False,False,BKK-01,,LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"อุปกรณ์,โยคะ,กันลื่น",/images/w_mat.png
13,WEL-FT-001,โฟมโรลเลอร์ 45 ซม.,Foam Roller 45cm,ช่วยคลายกล้ามเนื้อ ลดตึงหลังออกกำลังกาย,Fitness,Product,Product,,551.4,0.07,590.0,THB,65,-,False,False,BKK-01,,LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"โฟมโรล,กู้คืน,บำบัด",/images/w_foamroller.png
14,WEL-SP-004,สปาเท้า 45 นาที,Foot Spa 45m,แช่น้ำอุ่น + ขัดส้นเท้า + นวดกดจุดฝ่าเท้า,Spa,Service,Service,45.0,551.4,0.07,590.0,THB,6,All,True,True,BKK-01,"07:00,09:00,11:00,13:00,15:00,17:00,19:00",LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"สปาเท้า,ผ่อนคลาย,กดจุด",/images/w_footspa.png
15,WEL-MB-001,ชาดีท็อกซ์ 20 ซอง,Detox Herbal Tea,ชาสมุนไพรช่วยระบบย่อย ลดอาการบวมน้ำ ดื่มก่อนนอน,Wellness,Product,Product,,364.49,0.07,390.0,THB,120,-,False,False,BKK-01,,LINE @healthwellness; Web; Walk-in,https://booking.healthwellnessstudio.co,"สมุนไพร,ดีท็อกซ์,ชาลดบวม",/images/w_tea.png
